epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,36.6844,0.63238,1.23046,0.84091,0.93162,0.75789,0.65611,0.62198,0.5452,0.75664,0.65829,0.62656,0.4975,0.54802,1.03185,0.69308,0.80136,0.0007228,0.0007228,0.0007228
30,37.5631,0.65379,1.25462,0.85189,0.95686,0.75957,0.65611,0.63896,0.56149,0.747,0.64776,0.62241,0.50326,0.51277,1.01865,0.71894,0.79161,0.0007129,0.0007129,0.0007129
31,38.3635,0.637,1.30133,0.82222,0.94693,0.75785,0.66024,0.63886,0.56367,0.74859,0.65353,0.63131,0.50253,0.53158,1.04207,0.7108,0.79806,0.000703,0.000703,0.000703
32,39.1709,0.62823,1.20178,0.82594,0.94171,0.77593,0.65603,0.62412,0.53364,0.76443,0.64652,0.60985,0.46954,0.55442,1.162,0.67677,0.81776,0.0006931,0.0006931,0.0006931
33,39.9486,0.61994,1.11103,0.79886,0.93147,0.72915,0.65685,0.61334,0.52939,0.70696,0.63292,0.57312,0.47043,0.5328,1.20051,0.6525,0.80777,0.0006832,0.0006832,0.0006832
34,40.7237,0.63353,1.34915,0.82382,0.93579,0.75211,0.58497,0.60743,0.52233,0.72888,0.55759,0.56277,0.43659,0.58711,1.3451,0.71167,0.82796,0.0006733,0.0006733,0.0006733
35,41.5038,0.61021,1.15686,0.79887,0.93918,0.76398,0.58667,0.62018,0.53115,0.75362,0.57714,0.60708,0.45363,0.59151,1.32215,0.68046,0.83486,0.0006634,0.0006634,0.0006634
36,42.3651,0.58551,1.08011,0.83409,0.9361,0.78297,0.63647,0.64011,0.5528,0.78297,0.63647,0.63248,0.49462,0.50915,1.08487,0.60655,0.81681,0.0006535,0.0006535,0.0006535
37,43.1581,0.61332,1.19233,0.7879,0.94504,0.79259,0.67812,0.64025,0.5639,0.77615,0.66384,0.60645,0.48932,0.51393,0.97633,0.6136,0.80103,0.0006436,0.0006436,0.0006436
38,43.9446,0.62518,1.30038,0.78538,0.93534,0.79807,0.61666,0.64113,0.56539,0.79807,0.61666,0.63421,0.49902,0.48933,1.00029,0.63952,0.79524,0.0006337,0.0006337,0.0006337
39,44.729,0.58789,1.17314,0.79703,0.92896,0.75545,0.66662,0.6187,0.5391,0.75023,0.66185,0.60879,0.47664,0.47115,1.03996,0.63698,0.79273,0.0006238,0.0006238,0.0006238
40,45.5081,0.59245,1.18632,0.77035,0.91919,0.78411,0.59036,0.61811,0.52821,0.78701,0.59219,0.61438,0.45715,0.56502,1.01031,0.61921,0.8328,0.0006139,0.0006139,0.0006139
41,46.2888,0.59141,1.20066,0.81155,0.93661,0.77789,0.62572,0.62014,0.53018,0.77263,0.62096,0.60805,0.46804,0.61278,1.56319,0.62137,0.84476,0.000604,0.000604,0.000604
42,47.1556,0.60887,1.32712,0.79347,0.94545,0.84772,0.62323,0.63713,0.55309,0.84772,0.62323,0.63367,0.49692,0.57003,1.47084,0.60972,0.81708,0.0005941,0.0005941,0.0005941
43,47.9395,0.55961,1.08346,0.73913,0.91188,0.81744,0.65217,0.64811,0.57758,0.81744,0.65217,0.6454,0.51609,0.53294,0.92777,0.59775,0.80417,0.0005842,0.0005842,0.0005842
44,48.758,0.59173,1.12344,0.78914,0.93911,0.79111,0.67118,0.64893,0.55865,0.84965,0.6049,0.62784,0.48594,0.55226,1.02852,0.58982,0.81257,0.0005743,0.0005743,0.0005743
