epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,37.8019,0.62754,0.92204,0.62888,0.94823,0.89723,0.94961,0.94146,0.80528,0.89723,0.94961,0.94057,0.75025,0.50922,1.00688,0.51072,0.78776,0.000891125,0.000891125,0.000891125
31,38.5587,0.59514,0.89344,0.64315,0.9245,0.89051,0.94823,0.94285,0.81049,0.89051,0.94823,0.94182,0.74848,0.53596,0.82517,0.5274,0.78733,0.00087875,0.00087875,0.00087875
32,39.4522,0.59527,0.81142,0.6017,0.91513,0.89183,0.93435,0.91792,0.78765,0.88489,0.92629,0.90243,0.72339,0.54527,0.68416,0.52896,0.79361,0.000866375,0.000866375,0.000866375
33,40.1989,0.61083,0.83881,0.60926,0.93585,0.88963,0.92543,0.90232,0.77313,0.88963,0.92543,0.89713,0.72378,0.5494,0.98735,0.50405,0.79453,0.000854,0.000854,0.000854
34,40.9476,0.62161,0.90853,0.62646,0.93813,0.88677,0.92513,0.90725,0.78655,0.89385,0.93313,0.90858,0.73455,0.51877,1.03897,0.52232,0.7806,0.000841625,0.000841625,0.000841625
35,41.6995,0.58272,0.82864,0.6053,0.91996,0.87958,0.93266,0.9206,0.80563,0.88831,0.9386,0.92161,0.7407,0.54232,1.73567,0.5442,0.79935,0.00082925,0.00082925,0.00082925
36,42.4613,0.57076,0.8105,0.62322,0.92775,0.88115,0.93928,0.91973,0.7965,0.88796,0.94726,0.92917,0.73716,0.62283,1.88676,0.56343,0.83519,0.000816875,0.000816875,0.000816875
37,43.2087,0.59977,0.86441,0.59475,0.93724,0.89821,0.94687,0.93159,0.79931,0.89111,0.93888,0.91737,0.73396,0.62965,2.06999,0.58117,0.83761,0.0008045,0.0008045,0.0008045
38,43.9517,0.61242,0.89417,0.62012,0.93151,0.90427,0.94795,0.91924,0.79832,0.89714,0.93989,0.90845,0.71094,0.55979,2.02766,0.57449,0.82967,0.000792125,0.000792125,0.000792125
39,44.7126,0.57904,0.84493,0.58817,0.92764,0.90148,0.95035,0.89968,0.78284,0.90148,0.95035,0.89947,0.71251,0.52325,0.81908,0.55055,0.81823,0.00077975,0.00077975,0.00077975
40,45.6184,0.6044,0.86269,0.59493,0.93481,0.90358,0.95097,0.89738,0.76755,0.90358,0.95097,0.89727,0.70802,0.51135,0.83572,0.55278,0.7911,0.000767375,0.000767375,0.000767375
41,46.3819,0.58817,0.8939,0.59464,0.93929,0.89666,0.93534,0.89485,0.77659,0.90366,0.94337,0.91157,0.71412,0.55159,1.45383,0.53161,0.80628,0.000755,0.000755,0.000755
